,Author,Title,Citations,Year,Source
0," Fuentes, A Gabaldón, A Molina, E Gómez",Development and assessment of a load decomposition method applied at the distribution level,8,2003,http://digital-library.theiet.org/content/journals/10.1049/ip-gtd_20030095
1,"C Duarte, EC Ferreira, JAS Dias",Energy measurement techniques for energy efficiency programs,7,2012,https://www.intechopen.com/download/pdf/40218
2,"Benyoucef, T Bier, P Klein",Planning of energy production and management of energy resources with Smart Meters,7,2010,http://ieeexplore.ieee.org/abstract/document/5557587/
3,"Batra, A Singh, K Whitehouse","If you measure it, can you improve it? exploring the value of energy disaggregation",7,2015,http://dl.acm.org/citation.cfm?id=2821660
4," Chen, S Gupta, EC Larson…",DOSE: Detecting user-driven operating states of electronic devices from a single sensing point,8,2015,http://ieeexplore.ieee.org/abstract/document/7146508/
5,"Jawurek, FC Freiling",Privacy threat analysis of smart metering,7,2011,https://pdfs.semanticscholar.org/0f92/b55947fdfb7fd75cd54cdcbe9aef786ff36e.pdf
6,"Mocanu, PH Nguyen…",Energy disaggregation for real-time building flexibility detection,6,2016,http://ieeexplore.ieee.org/abstract/document/7741966/
7,"Chen, F Gao, X Guan, T Liu, Y Che…",A residential load scheduling approach based on load behavior analysis,6,2014,http://ieeexplore.ieee.org/abstract/document/6899441/
8," Wong, T Drummond, YA Şekercioğlu",Real-time load disaggregation algorithm using particle-based distribution truncation with state occupancy model,6,2014,http://digital-library.theiet.org/content/journals/10.1049/el.2013.3967
9,"Dong, AA Cárdenas, LJ Ratliff, H Ohlsson…",Quantifying the utility-privacy tradeoff in the smart grid,6,2014,https://arxiv.org/abs/1406.2568
0," Barsim, R Streubel, B Yang",Unsupervised adaptive event detection for building-level energy disaggregation,6,2014,https://www.researchgate.net/profile/Karim_Said_Barsim/publication/266613706_Unsupervised_Adaptive_Event_Detection_for_Building-Level_Energy_Disaggregation/links/55cc87b708aea2d9bdce4454.pdf
1,"Simonov, G Chicco",Underlying concepts for event-driven energy metering,6,2015,http://ieeexplore.ieee.org/abstract/document/7300707/
2,"Lundén, S Werner",Real-time smart metering with reduced communication and bounded error,6,2014,http://ieeexplore.ieee.org/abstract/document/7007667/
3," Chou, RI Chang",Unsupervised adaptive non-intrusive load monitoring system,6,2013,http://ieeexplore.ieee.org/abstract/document/6722295/
4,"Tang, K Wu, J Lei",A distributed and scalable approach to semi-intrusive load monitoring,6,2016,http://ieeexplore.ieee.org/abstract/document/7210212/
5," Singh, C Shen, A Phanishayee, A Kansal…",A Case for Ending Monolithic Apps for Connected Devices.,6,2015,https://www.usenix.org/system/files/conference/hotos15/hotos15-paper-singh.pdf
6,"Thoma, T Cui, F Franchetti",Privacy preserving smart metering system based retail level electricity market,6,2013,http://repository.cmu.edu/ece/259/
7," Hong, JH Chou",Nonintrusive energy monitoring for microgrids using hybrid self-organizing feature-mapping networks,6,2012,http://www.mdpi.com/1996-1073/5/7/2578/htm
8,Park,Model-based monitoring of discrete-event systems,6,1996,http://docs.lib.purdue.edu/dissertations/AAI9638215/
9,"Zoha, A Gluhak, M Nati, MA Imran…",Acoustic and device feature fusion for load recognition,6,2012,http://ieeexplore.ieee.org/abstract/document/6335166/
0,Engel,Conditional access smart meter privacy based on multi-resolution wavelet analysis,6,2011,http://dl.acm.org/citation.cfm?id=2093743
1,"Cárdenas, S Amin…",Privacy-aware sampling for residential demand response programs,6,0,http://ai2-s2-pdfs.s3.amazonaws.com/5773/1b89b1475b1fbf57aa9f7564849ec477e874.pdf
2," Chang, KL Lian, YC Su…",Energy spectrum-based wavelet transform for non-intrusive demand monitoring and load identification,6,2013,http://ieeexplore.ieee.org/abstract/document/6682478/
3," Park, JS Seo, BH Wang",Development of home electrical power monitoring system and device identification algorithm,6,2011,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=PJJNBT_2011_v21n4_407
4, Hill,Applied change of mean detection techniques for HVAC fault detection and diagnosis and power monitoring,6,1995,https://dspace.mit.edu/handle/1721.1/67272
5,"Mashima, A Roy",Privacy preserving disclosure of authenticated energy usage data,6,2014,http://ieeexplore.ieee.org/abstract/document/7007757/
6,"Kelly, W Knottenbelt",Does disaggregated electricity feedback reduce domestic electricity consumption? A systematic review of the literature,7,2016,https://arxiv.org/abs/1605.00962
7,"Zhong, N Goddard, C Sutton",Interleaved factorial non-homogeneous hidden Markov models for energy disaggregation,6,2014,https://arxiv.org/abs/1406.7665
8,"Zhong, N Goddard, C Sutton",Latent Bayesian melding for integrating individual and population models,6,2015,http://papers.nips.cc/paper/5756-latent-bayesian-melding-for-integrating-individual-and-population-models
9," Trung, E Dekneuvel, B Nicolle…",Using FPGA for real time power monitoring in a NIALM system,6,2013,http://ieeexplore.ieee.org/abstract/document/6563850/
0," Chiang, T Zhang, B Chen…",Load disaggregation using harmonic analysis and regularized optimization,7,2012,http://ieeexplore.ieee.org/abstract/document/6411916/
1,"Egarter, VP Bhuvana, W Elmenreich",Appliance state estimation based on particle filtering,6,2013,http://dl.acm.org/citation.cfm?id=2528306
2,"Langer, F Skopik, G Kienesberger…",Privacy issues of smart e-mobility,6,2013,http://ieeexplore.ieee.org/abstract/document/6700238/
3,"Adabi, P Mantey, E Holmegaard…",Status and challenges of residential and industrial non-intrusive load monitoring,6,2015,http://ieeexplore.ieee.org/abstract/document/7314344/
4,"Sodenkamp, K Hopf, T Staake",Using supervised machine learning to explore energy consumption data in private sector housing,6,2014,https://books.google.com.br/books?hl=en&lr=&id=iqGXBgAAQBAJ&oi=fnd&pg=PA320&ots=cJLies9zZr&sig=DiO5zShRlaC37KFPxMSbtA2SVW8
5,"Ferrez, P Roduit",Non-intrusive appliance load curve disaggregation for service development,6,2014,http://ieeexplore.ieee.org/abstract/document/6850519/
6,"Reinhardt, S Koessler",PowerSAX: Fast motif matching in distributed power meter data using symbolic representations,6,2014,http://ieeexplore.ieee.org/abstract/document/6927699/
7,"Rottondi, M Savi, D Polenghi…",A decisional attack to privacy-friendly data aggregation in smart grids,6,2013,http://ieeexplore.ieee.org/abstract/document/6831469/
8,"Clark, B Campbell, P Dutta",Deltaflow: submetering by synthesizing uncalibrated pulse sensor streams,6,2014,http://dl.acm.org/citation.cfm?id=2602070
9,"Zeifman, C Akers, K Roth",Nonintrusive appliance load monitoring (NIALM) for energy control in residential buildings,6,2011,https://cdn2.hubspot.net/hub/55819/file-14736637-pdf/docs/eedal_060_zeifmanetal2011.pdf
0,"Jain, D Chhabra, J Mankoff, A Singh",Energy Usage Attitudes of Urban India.,6,0,http://www.atlantis-press.com/php/download_paper.php?id=13443
1,"Šíra, VN Zachovalová",System for calibration of nonintrusive load meters with load identification ability,6,2015,http://ieeexplore.ieee.org/abstract/document/7045514/
2,"Egarter, A Monacchi, T Khatib…",Integration of legacy appliances into home energy management systems,6,2016,http://link.springer.com/article/10.1007/s12652-015-0312-9
3," Ambassa, SD Wolthusen…",Robust snapshot algorithm for power consumption monitoring in computationally constrained micro-grids,6,2015,http://ieeexplore.ieee.org/abstract/document/7387160/
4,， 余贻鑫,非侵入式电力负荷在线分解,14,2009,http://www.cqvip.com/qk/91541x/200904/29975300.html
5,远， 雍静,电力扰动数据分析学——电能质量监测数据的新应用,12,2013,http://www.cqvip.com/qk/90021x/201319/46273958.html
6,"Gao, EC Kara, S Giri, M Bergés",A feasibility study of automated plug-load identification from high-frequency measurements,6,2015,http://ieeexplore.ieee.org/abstract/document/7418189/
7,"Temneanu, AS Ardeleanu",Hardware and software architecture of a smart meter based on electrical signature analysis,5,2013,http://ieeexplore.ieee.org/abstract/document/6563499/
8,"Egarter, M Pöchacker, W Elmenreich",Complexity of power draws for load disaggregation,5,2015,https://arxiv.org/abs/1501.02954
9,"M Cheng, SKK Ng, J Liang…",An alternative use of power quality information-Load signature studies & applications,5,2012,http://ieeexplore.ieee.org/abstract/document/6381297/
0,"Gündüz, J Gome",Information theoretic privacy for smart meters,5,2013,http://ieeexplore.ieee.org/abstract/document/6503006/
1,"Rottondi, G Verticale",Privacy-friendly load scheduling of deferrable and interruptible domestic appliances in Smart Grids,5,2015,http://www.sciencedirect.com/science/article/pii/S0140366414002825
2," Chang, MC Lee, WJ Lee…",Feature extraction-based hellinger distance algorithm for nonintrusive aging load identification in residential buildings,5,2016,http://ieeexplore.ieee.org/abstract/document/7416637/
3,"Wang, A Filippi, R Rietman, G Leus",Compressive sampling for non-intrusive appliance load monitoring (NALM) using current waveforms,5,2012,http://www.actapress.com/Abstract.aspx?paperId=454147
4," Fan, X Liu, WC Lee…",Efficient time series disaggregation for non-intrusive appliance load monitoring,5,2012,http://ieeexplore.ieee.org/abstract/document/6331987/
5,"Cleemput, MA Mustafa…",High assurance smart metering,5,2016,http://ieeexplore.ieee.org/abstract/document/7423169/
6,"Campillo, F Wallin, D Torstensson…",Energy demand model design for forecasting electricity consumption and simulating demand response scenarios in Sweden,5,0,http://www.diva-portal.org/smash/record.jsf?pid=diva2:582603
7,"Kessler, CM Flath, K Böhm",Allocative and strategic effects of privacy enhancement in smart grids,5,2015,http://www.sciencedirect.com/science/article/pii/S0306437914001513
8,McCulloch,Reducing domestic energy consumption through behaviour modification,5,2009,https://ora.ox.ac.uk/objects/uuid:ac11b371-82e3-4091-930c-ff0b28b9704e
9,"Yang, L Su, M Khan, M Lemay…",Power-based diagnosis of node silence in remote high-end sensing systems,5,2015,http://dl.acm.org/citation.cfm?id=2661639
0,"Parson, M Weal, A Rogers",A scalable non-intrusive load monitoring system for fridge-freezer energy efficiency estimation,5,2014,http://nilmworkshop.org/2014/proceedings/parson_scalable.pdf
1,"Ducange, F Marcelloni…",An algorithm based on finite state machines with fuzzy transitions for non-intrusive load disaggregation,5,2012,http://ieeexplore.ieee.org/abstract/document/6388010/
2,"Paganelli, F Paradiso, S Turchi, A Luchetta…",Appliance recognition in an OSGi-based home energy management gateway,5,2015,https://www.hindawi.com/journals/ijdsn/aa/937356/abs/
3,"Batra, A Singh, K Whitehouse",Gemello: Creating a detailed energy breakdown from just the monthly electricity bill,5,2016,http://dl.acm.org/citation.cfm?id=2939735
4,"Bacurau, A Dante, L Duarte, E Ferreira",Experimental investigation on the load signature parameters for non-intrusive load monitoring,5,2015,http://red.pe.org.pl/articles/2015/8/22.pdf
5,"Fitta, S Biza, M Lehtonen, T Nieminen…",Exploring techniques for monitoring electric power consumption in households,5,2010,https://www.researchgate.net/profile/Giulio_Jacucci/publication/265119778_Exploring_Techniques_for_Monitoring_Electric_Power_Consumption_in_Households/links/56a398d808ae1b651130686e.pdf
6,"Wang, X Hao, L Song, C Wu, Y Wang, C Hu…",Monitoring massive appliances by a minimal number of smart meters,5,2014,http://dl.acm.org/citation.cfm?id=2544376
7, Fitta,Load classification and appliance fingerprinting for residential load monitoring system,5,2010,https://aaltodoc.aalto.fi/handle/123456789/3343
8,"Kang, M Jin, CJ Spanos",Modeling of end-use energy profile: An appliance-data-driven stochastic approach,5,2014,http://ieeexplore.ieee.org/abstract/document/7049322/
9," Reeg, TJ Overbye",Algorithm development for non-intrusive load monitoring for verification and diagnostics,5,2010,http://ieeexplore.ieee.org/abstract/document/5619600/
0,Shi,Power Quality Impact of Photovoltaic Systems on Residential Distribution Networks,5,2014,https://era.library.ualberta.ca/files/h702q6756
1,Yang,Contributions to smart metering protocol design and data analytics,5,2015,https://digital.lib.washington.edu/researchworks/handle/1773/33807
2,"Clement, J Ploennigs, K Kabitzsch",Detecting activities of daily living with smart meters,6,2014,http://link.springer.com/chapter/10.1007/978-3-642-37988-8_10
3,"Cortés, GE Dullerud, S Han, J Le Ny…",Differential privacy in control and network systems,5,2016,http://ieeexplore.ieee.org/abstract/document/7798915/
4,"Filippi, A Pandharipande, A Lelkens…",Multi-appliance power disaggregation: An approach to energy monitoring,5,2010,http://ieeexplore.ieee.org/abstract/document/5771809/
5,"Breed, J Delport",Non-intrusive load monitoring of residential appliances,5,2001,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.477.2872&rep=rep1&type=pdf
6,"Bergés, L Soibelman, HS Matthews…",Evaluating the electric consumption of residential buildings: Current practices and future prospects,5,2010,http://ascelibrary.org/doi/abs/10.1061/41109(373)8
7,璐， 贾宏杰,一种适用于非侵入式负荷监测的暂态事件检测算法,11,2011,http://aeps.alljournals.ac.cn/aeps/ch/reader/create_pdf.aspx?file_no=201008116&flag=&journal_id=aeps&year_id=2011
8,博士， 小野田崇， 由本勝久， 中野幸夫…,建物の外から電気機器の使用実態を把握するモニタリングシステム-実家庭への適用実験,11,2004,https://www.jstage.jst.go.jp/article/ieejeiss/124/9/124_9_1874/_article/-char/ja/
9," Esa, MP Abdullah, MY Hassan",A review disaggregation method in Non-intrusive Appliance Load Monitoring,4,2016,http://www.sciencedirect.com/science/article/pii/S1364032116303392
0,"Wang, X Luo, W Zhang",Unsupervised energy disaggregation with factorial hidden Markov models based on generalized backfitting algorithm,4,2013,http://ieeexplore.ieee.org/abstract/document/6718469/
1,"Donaldson, M McCulloch",Utility metering,4,2014,https://www.google.com/patents/US8843334
2," Yu, P Mirowski, TK Ho",A sparse coding approach to household electricity demand forecasting in smart grids,4,2017,http://ieeexplore.ieee.org/abstract/document/7390295/
3,"Barsocchi, E Ferro, F Palumbo…",Smart meter led probe for real-time appliance load monitoring,4,2014,http://ieeexplore.ieee.org/abstract/document/6985287/
4,"Iwayemi, C Zhou",Leveraging smart meters for residential energy disaggregation,4,2014,http://ieeexplore.ieee.org/abstract/document/6939461/
5,"Bu, D Zhao, Y Liu, Q Guan",A hierarchical classification algorithm for evaluating energy consumption behaviors,4,2014,http://ieeexplore.ieee.org/abstract/document/6889879/
6," Kuruppu, NA Kulatunga",Smart meter based non-intrusive appliance detection algorithm for local real time feedback purposes,4,2012,http://ieeexplore.ieee.org/abstract/document/6303108/
7,"Hu, X Cheng, Z Tian, J Yu, K Akkaya…",An attribute-based signcryption scheme to secure attribute-defined multicast communications,4,2015,https://link.springer.com/chapter/10.1007/978-3-319-28865-9_23
8,Cicchetti,Could not catch title,4,0,Look manually at: https://scholar.google.com/scholar?start=490&q=non+intrusive+load+monitoring
9,"Conti, M Nati, E Rotundo, R Spolaor",Mind The Plug! Laptop-User Recognition Through Power Consumption,4,2016,http://dl.acm.org/citation.cfm?id=2899009
0,"Jung, A Savvides, A Bamis",Tracking appliance usage information in residential settings using off-the-shelf low-frequency meters,4,2012,http://dl.acm.org/citation.cfm?id=2228393
1,"Erkin, JR Troncos",An Overview of Privacy-Preserving Data Aggregation in Smart Metering Systems,4,2013,http://gpsc.uvigo.es/sites/default/files/publications/smartmeteringspm2013.pdf
2,"Gao, H Yang",Non-intrusive load identification by fuzzy cluster analysis based on active power,4,2012,http://ieeexplore.ieee.org/abstract/document/6307566/
3," Racines, JE Candelo",Non Intrusive Load Identification with Power and Impedance obtained from Smart Meters,4,2014,http://www.enggjournals.com/ijet/docs/IJET14-06-04-723.pdf
4,"Mauch, B Yang",A new approach for supervised power disaggregation by using a deep recurrent LSTM network,4,2015,http://ieeexplore.ieee.org/abstract/document/7418157/
5," Cao, TK Wijaya, K Aberer…",A collaborative framework for annotating energy datasets,4,2015,http://ieeexplore.ieee.org/abstract/document/7364072/
6,"Gillani, F Laforest, G Picard",A Generic Ontology for Prosumer-Oriented Smart Grid.,4,2014,https://pdfs.semanticscholar.org/d090/da78b0566332b338dfaea9a10313f483b5f4.pdf
7," Ny, GJ Pappas",Differentially private kalman filtering,4,2012,https://arxiv.org/abs/1207.4592
8,"Arberet, A Hutter",Non-intrusive load curve disaggregation using sparse decomposition with a translation-invariant boxcar dictionary,4,2014,http://ieeexplore.ieee.org/abstract/document/7028915/
9,"Figueiredo, B Ribeiro…",On the optimization of appliance loads inferred by probabilistic models,4,2014,http://nilmworkshop.org/2014/proceedings/figueiredo_optimization.pdf
0,"Kelly, W Knottenbelt",Disaggregating multi-state appliances from smart meter data,4,2012,http://www.sigmetrics.org/sigmetrics2012/student_poster/SIGMETRICS2012_Poster_Abstract_Kelly.pdf
1,"Tewolde, JC Fritch, JP Longtin",High-resolution meter reading technique for appliance gas usage monitoring for the smart grid,4,2011,http://ieeexplore.ieee.org/abstract/document/6135876/
2,"AbuAli, J Lee, W Zhao",Methods and systems for energy prognosis,4,2013,https://www.google.com/patents/US8527223
3,"Nguyen, S Alshareef, A Gilani…",A novel feature extraction and classification algorithm based on power components using single-point monitoring for NILM,4,2015,http://ieeexplore.ieee.org/abstract/document/7129156/
4,"Jazizadeh, B Beceri",Unsupervised clustering of residential electricity consumption measurements for facilitated user-centric non-intrusive load monitoring,4,2014,http://ascelibrary.org/doi/abs/10.1061/9780784413616.232
5, Samarakoon,Use of smart meters for frequency and voltage control,4,2012,http://orca.cf.ac.uk/id/eprint/35740
